Category,Product Name,Customer Rating,Sentiment,Emotion,text
Muslim Fashion,HIJAB VOAL |VOAL ULTRAFINE | LUNA VOAL YOUTHSCARF (basic colour) - LV-DENIM,1,Negative,Anger,pengiriman lama. udh gt gaktau deh bener atau gak admin nya wa aku. blgnya warna jilbab yg ku pesan hbs. trs ak udh pilih warna lain. tp ujungnya yg dtg ttp aja warna yg kupilih awal. knp bgtu ya kalo ada stocknya knp hrs berbelit smakin lama pengirimannya statusnya gagal trs lama bgt. biasanya dari Bandung gak selama ini. ini Krn adminnya japri di wa berbelit-belit. barang diskon ya gak gini juga lah hrs sama pelayanan nya jgn bikin kecewa.
Office & Stationery,Ball Pen Pulpen Pena Joyko BP-273 Zeto 0.7 mm 1 Box 12 Pcs,5,Positive,Happy,"Hore dpt harga kejar diskon.. trnyata produk ori, paking aman, isiny byk n pulpen ny enak d pakai.. anak juga suka bgt.. makasih joyko"
Muslim Fashion,Sajadah Travel Motif Abu Dhabi - C - Ungu,5,Positive,Happy,Bahannya lembut. anti slip. Ukuran sesuai. Bahannya tebal. Warnanya cantik ??.
Movies and Music,Pianika YAMAHA P32D Original,1,Negative,Sadness,"customer servis=0. pesan same day delivery, baru nyampe besoknya itu pun malam. ketika di komplen, cuci tangan ga mau tau. really Negative. ga akan beli barang lagi di tokopedia."
Body Care,Whisper Pembalut Wanita Regular Flow 40's,5,Positive,Happy,"kemasan ok, aman bgt. isi sangat banyak. produknya nyaman dipakai"
Food and Drink,gepuk karwati ayam (oleh-oleh food) makanan khas - Original,1,Negative,Sadness,"Maaf sebelumnya, bknnya sy mau menjelekan produk. tp sy kecewa salah satu gepuk toples warna merah stlah 2hr ko sudah berjamur, pdhl 2 toples yg lainnya masih wenak bgtzz gepuknya"
Party Supplies and Craft,BALON FOIL BANDO KARAKTER MIX BANDO ANAK MOTIF HEWAN HEADBAND ANIMAL 1 - S024,5,Positive,Love,"bagus banget, pengiriman cepat, seller ramah, tooop"
Automotive,Orios LED H6/M5 DC 6000K Lampu Motor,1,Negative,Fear,lampu nggak idup
Office & Stationery,GROSIR CUTTER BESAR Joyko L500 GRATIS REFILL PISAU 1 Tube,1,Negative,Fear,"beli 5 cutter , dikirim 3 cutter blade, harusnya 5 juga cutter blade"
Household,Lemari Plastik Pakaian DIY / Wardrobe / Rak Baju Animal Character - 8 Cube + 4 Rak,2,Negative,Sadness,"agak kecewa sih....di gambar bisa tarok tas, aslinya mleot klu beban berat...gantungan baju nggak bisa lah kecuali gantungan ukuran kecil....bahan nya tipis ....tp gitu lah"
Animal Care,Spray Obat Kulit Scabies Demodex Jamur Kutu Anjing Kucing Hewan 100ml - Spray 60ml,5,Positive,Love,obatnya cocok buat doggy yg berjamur . sdh beli beberapa kali
Camera,Helmet Front Mounting buat nge vlog mounting helm Xiaomi yi atau Gopro - Tanpa Pivot,5,Positive,Love,"Barang sampai tepat waktu,aman dan rapih.....mantap gan.... Dapet bonus lagi..the bast pokoknya.. Kalian wajib blanja di olshop ini boz.... Makasih barangnya"
Food and Drink,Kripik Usus Ayam 1kg Super,1,Negative,Anger,"keripik ususnya rada bau bangkai, rasa asin banget. Saya 100% me review karena saya memang kecewa atas kualitas kripik usus yang bau menyengat. Harusnya anda menjadikannya bahan introspeksi bukannya malah menuduh saya kompetitor anda. Toko macem apa ini!!"
Kitchen,Goto Whale Pompa Galon Dispenser Air Minum Charge Usb Gallon Pump - Putih,2,Negative,Fear,pencetannya agak keras jd tkt cepat rusak. terus airnya jd bau plastik.. tidak dapat dipakai
Carpentry,Wallpaper Dinding 3D Foam Batu Bata 70cm x 77cm - Putih 70 x 38cm,1,Negative,Sadness,pertama kalinya beli barang online kecewa banget barang yang dibeli 20 pcs yang dateng cuma 8 pcs sudah itu ongkirnya lumayan mahal padahal beratnya tidak sesuai
Gaming,Memory Card PS2 Free MCboot Multi,5,Positive,Happy,Awalnya saya kira belum dibuka untuk diisi freemcboot...tyt sudah dibuka tinggal tes di mesin :) thx
Property,Panen telur - Oxihom Baskom Saringan Tirisan K1903 - Cokelat,5,Positive,Happy,barang bagus. pengirim cepat. s3moga bermanfaat
Party Supplies and Craft,Balon LED RGB LENGKAP 2/BOBO LED/Balon Lampu Tumblr 3 MODE + Gagang,1,Negative,Sadness,balonnya kecil sekali ga sesuai gambar..ga bagus kualitas..ketipu dr gambar nya..kecewa
Body Care,HairGen Supplement Vitamin Penghitam Rambut Alami Menghilangkan Uban,1,Negative,Sadness,sangat kecewa banget
Women's Fashion,BA24 Dompet Pendek Wanita Original Baellery Stylish Wax Leather - red,5,Positive,Happy,Desainnya cantik ??. Warnanya cantik ??. Kualitas produk bagus ??.
Automotive,Hayaidesu Keychain Gantungan Kunci Aksesoris Variasi Motor Mobil - Hitam,5,Positive,Happy,Produk sesuai deskripsi??.
Camera,Background spunbond putih backdropfoto Ukuran 1.6m x 3m Impodio-PERMTR,4,Positive,Happy,Produk sesuai deskripsi. cuma bagian lipatannya tidak mudah hilang walaupun sudah disetrika. jdnya agak kliatan bagian lipatan saat difoto
Household,Payung Kapsul Payung Mini lipat 3 Micro Capsule Umbrella anti UV - Biru,5,Positive,Love,Barangnya buat kado sih bagus yg terima keliatan happy :) Kualitas Product Bagus Harga terjangkau! Recomended
Men's Fashion,"Sepatu Boots AP Ultraflex Motor Outdoor Kebun Anti Air By AP Boots - Hijau, 40",2,Negative,Sadness,Saya tulis ukuran yg di butuhkan 4 macam... yg saya terima ini hanya 1 macam... ngga bisa kita pake semua...
Toys and Hobbies,Happy Truck Frictions PEMADAM - Mainan Mobilan Anak - Mobil Mobilan,1,Negative,Fear,"Order dan gambar truck pemadam kok dikirim mobilan police, NOT RECOMMENDED"
Mother and Baby,Mama's Choice Active-wear Maternity Legging - Legging Hamil Mama's Cho - Hitam + pengait,3,Negative,Fear,Proses pengiriman lama. Bahan tipis
Phones and Tablets,"Apple iPad Air 4 2020 256GB 64GB Wifi Only 10.9 256 64 Not Cellular - WIFI 64 GB, Grey",1,Negative,Fear,"seller tidak jujur&pengiriman super lama pdhl pesen gojek instant. di hari pemesanan di info kalau ada suara MARHABA/ HELLO krn ketekan, pdhl seumur2 beli apple ga pernah ada kasus bs ketekan kalau belum dibuka. sdh blg juga kalau saya ga mau barang yg ini karena menurut saya aneh, katanya blm dibuka tp mana bs ada suara tiba2 muncul? dr factorynya masa? eh hari itu gak kunjung dikirim tp bilangnya udh dikirim, nyatanya ditunggu smp batterynya habis, baru dikirim keesokan harinya?? dipikir saya ga pernah beli barang apple kayanyaa� barang baru apple itu selalu dikasih batt minimal bgt 20% dr full. ini ga bs nyala sama sekali. hehe mau boongin saya yahh. udh cukup beli sekali aja disini."
Kitchen,Tefal Cook & Clean Frypan 26cm Wajan Anti Lengket,5,Positive,Happy,Material Produk Bagus.
Kids and Baby Fashion,Tas Sekolah Anak SD Laki Laki - C. America Navy,5,Positive,Happy,barang sesuai foto. kualitas lumayan sesuai harga. sejauh ini oke lah kalo brgtuu.. sukses selalu.
Beauty,"MS Glow - 1 Box Masker Kosme Mask Fitmask Nano Silver Masker Kesehatan - Hitam, Stopper",4,Positive,Happy,Orderan sesuai dan packing juga aman.
Gaming,Gamepad Ipega 9089,3,Negative,Sadness,"Respone sellernya sangat cepat..Tapi....ga bisa dipasang di hp saya, dideskripsi 7 inch bisa eh ternyata pas dateng di pasang di hp samsung a70 ga muat, dan pas baca dalemnya maks ktnya 6,2 inch. Sama buat maen CoD rada ngadat, pas maen ML lancar jaya.... Padahal pengen maen CoD nya :)"
Kitchen,KAZU K100 Spon Nano Magic Pembersih Penghilang Kerak Noda Panci,1,Negative,Sadness,ternyata tdk seampuh iklannya... noda panci msh tetap ada
Mother and Baby,"merries S , M , L , XL - L30",5,Positive,Happy,pengemasan okepenjual responnya bagusharga bersahabat pengantaran cepat puas belanja di sini
Movies and Music,Selang Pianika Yamaha,5,Positive,Happy,"barang berfungsi dgn baik, pengiriman super cepat"
Household,GM Bear Alat Pel Lantai Ultra Mop Aclima 1354-Spin Mop Mint,2,Negative,Fear,ada harga ada kualitas. maaf terlalu rentan bahan nya. ga bisa dipasang ring perasan nya
Other Products,BUBBLE PACK (PACKING TAMBAHAN),5,Positive,Happy,Packing rapih terimakasih
Body Care,Lifebuoy Shampo Anti Ketombe Anti Dandruff Milknutristrong 900Ml,1,Negative,Anger,Pihak Ekspedisi antaraja payah lama sekali?
Carpentry,BARDI Smart PLUG WiFi Wireless Colokan - IoT Smart Home Colokan Steker,5,Positive,Love,"Respond seller cepat, pengiriman segera. Produk berkualitas. Mantap banget."
Books,DUNIA ANNA,4,Positive,Happy,defect dikit di ujungnya tp gpp
Muslim Fashion,Sajadah Polos Tebal Bulu Tipis HITAM Aladeen - Size Dewasa Gratis Tas,5,Positive,Love,Bahannya tebal. Bahannya lembut. Warnanya cantik ??. anti slip. Ukuran sesuai.
Party Supplies and Craft,PAKET properti foto / set aestetik photo produk / props foto SAF,5,Positive,Happy,bagus reseller gercep bgt
Office & Stationery,"Stempel Warna Flash I Otomatis Design Custom - kecil, 1 warna",5,Positive,Love,"fast respon, barang bagus, recommend.."
Gaming,PS2 HDD 120GB FAT Sony Asli Full Games + 2 Stik - MESIN AJA,5,Positive,Love,"BARANG MULUS, PACKINGAN OK, KELENGKAPAN BARANG JUGA OK, TINGGAL KENDALA DI TV SENDIRI WKWKWK, UNTUK MASALAH PS2NYA REKOMENDASI LAH BAGI YG MAU BELI PS2 DISINI. :)"
Health,ONEMED - Masker Earloop 3 Ply Medis | Surgical Mask - Hitam,3,Negative,Sadness,warna kuning hanya samar2 jadi spt warna putih saja.kecewa tdk spt gambar dikotak
Mother and Baby,Minyak Telon My baby 150 150ml,1,Negative,Anger,PRODUK DIKIRIM TIDAK LENGKAP !!!
Animal Care,Paw Underpad Pee Pad Toilet Training Anjing 60x90 isi 10 Lembar,5,Positive,Happy,"produk oke, sesuai dengan foto dan keterangan"
Beauty,2IN1 KUTEK HALAL KUTEK 2 TONE KUTEK KOREA - B27,4,Negative,Anger,Tidak komunikatif. Wrn yg di pilih ga ada. Sdh chat conform minta kirim yg ada aja. Yg ga ada ga usa kirim. Malah di kirim wrn asal�.
Camera,SILICA GEL BLUE GRADE A ISI 100 SACHET,5,Positive,Happy,"Barang dalam kondisi prima, nyampenya juga cepet cuma sehari. Terima kasih, seller!"
Mother and Baby,"MOOIMOM Casual Hipseat Carrier Gendongan Bayi - 3 - 36 Bulan, Abu-abu",4,Positive,Happy,Gampang dipakai. Nyaman di punggung.
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,5,Positive,Love,MANTAB. RESPON CEPAT. PESANAN TIDAK MENGECEWAKAN. REKOMENDED BUAT BELANJA SPARE PART. TERIMA KASIH ATAS KERJA SAMANYA
Toys and Hobbies,RB- M28 Mainan Mandi Bola Plastik WarnaWarni SNI Isi 50PCS Untuk Tenda - WARNA- WARNI,1,Negative,Fear,"hati2 gaes, dikirim barang yg salah."
Beauty,MAKE OVER Trivia Eye Shadow 6 g - Eye Shadow Palette - Indian Summer,5,Positive,Happy,Ada shimmer ?. Packaging aman ??. Proses pesanan cepat. Packaging rapi.
Beauty,L'Oreal Paris Revitalift Crystal Purifying Micellar Water Oil Free - 400 ml,5,Positive,Love,baru mau nyoba varian micelar water nya .. semoga cocok kayak varian micro essence nya loreal ini .. dapat harga diskon pulak .. makin cintaaa .. pengiriman juga aman dan tepat waktu .. terimakasih tokped dan loreal ??
Office & Stationery,kalkulator citizen 868L best seller,1,Negative,Anger,barang datang dalam kondisi rusak parah.lcd pecah.
Kids and Baby Fashion,Celana Pendek Anak Laki Harian hawai 7-10 tahun Murah - RANDOM,2,Negative,Sadness,"saya kecewa, bahan nya panas. warna yg di kirim juga kurang menarik"
Movies and Music,"Pianika Alat Musik Tiup / Pianika Melodika Softcase - tas kain biasa, Biru",2,Negative,Fear,LAMA
Office & Stationery,Lakban Solatip Isolasi OPP Bening 2 Inch 45mm x 90 Yard 45micron MURAH - 90yard - 70m,1,Negative,Anger,"BELI 11, DIKIRIM CUMA 6, KOMPLAIN NO RESPON, GAK SOLUTIF, RUGI BELI DISINI, KAPOK ??????"
Household,Jam Meja Digital Alarm LED Mirror Clock - Putih-Putih,5,Positive,Love,Berfungsi seluruh fiturnya dan juga tombolnya. Jamnya bisa diatur dengan mudah dan designya minimalis yang sangat bagus!
Mother and Baby,PAKET INTIME Baby Bath Tub / Bak Mandi Bayi + POMPA - Biru Muda,1,Negative,Anger,pelayanan tokonya sampah..
Household,Polo City Tas Koper Hardcase size 24 inch - 072 - Blue Navy,5,Positive,Love,"Puas banget.. Dengan harga segini worth it banget sih. Respon penjual juga baik. Order pagi, siang udh sampe pake kurir instan. Recommended! ????????????"
Sport,"celana olahraga bola futsal running CN-02 - Putih, NIKE",1,Negative,Anger,"Seller kirim barang kurang, beli 24 datang hanya 21, dikomplain baik2 malah bilang ga mungkin, nuduh buyer bohong padahal cuma uang 50rb an selisihnya, coba cek tuh sistem sortir disananya, ga bikin kaya kalo cuma mau nilep 50rb an mah"
Phones and Tablets,XIAOMI 1more Omthing E-Joy Smart Watch - Hitam,5,Positive,Happy,Ada garansi resmi. Barangnya original ??. Baterai awet. Fitur mudah digunakan. Penjualnya ramah banget.
Body Care,HMNS Perfume - Farhampton 100ml,1,Negative,Fear,Pengiriman pertama leak sampai isi habis dikirim barang pengganti masih leak parfum habis juga dua kali dapet botol kosong
Carpentry,YJ-01 Nano Spray Gun Disinfectant Wireless 800 ml,1,Negative,Sadness,"Seller menggapangkan dan menyepelekan pembeli. Pengiriman lama, pelayanan tidak memuaskan. Seller bilang �wajar lah lama dikirim, kan barang diskon� Sudah lama dikirim, pas di pick up gagal pick up, tidak di follow up lg sama seller. Sampai saya complain baru di kerjain untuk kirim. Kualitas barang, standar. Intinya saya bisa beli dimana saja barang sejenis. Tp sangat menyesal berhubungan dengan seller seperti ini."
Party Supplies and Craft,box clover segi 4 / kotak kado hadiah gift makanan cd bingkisan,5,Positive,Love,Bagusssss bangeeettttt ????????????
Automotive,MPX2 OIL OLI MPX2 MATIC FOR HONDA,1,Negative,Sadness,kecewa bawa tidak sesuai pesanan pesan 10 yg datang cuma 8 botol
Precious Metal,WW additional PICTURE,5,Positive,Love,"barangnya bagus bangett.. grafir photo dan namanya presisi sesuai orderan. dikirim hingga keluar pulau jg, packing sangat aman. respon seller jg baik dan pengiriman cepat.."
Men's Fashion,"Okechuku JAY Celana Chino Panjang Pria Celana Chino Pria Celana Pria - Hitam, Size 28",1,Negative,Sadness,"Dapet celana yang gak ada kancingnya, sangat disayangkan..."
Women's Fashion,Daster Wanita Kekinian Adem - Warna Random,3,Negative,Fear,barangnya gx sesuai sama yg d gambar
Gaming,Sup Gameboy Game Console 3 Inch 400 Games Retro FC Gamebox Classic - Biru,4,Positive,Love,"barang bagus cm ternyata kecil gk seperti yg di bayangin, tp anak q suka, cm yg kecewa kabel chargernya gk ada"
Animal Care,PURR+ Premium Pet Spray 500ML Antiseptic Ion-Activated Water,5,Positive,Happy,"produknya ok sangat bermanfaat utk mrnjaga dan merawat kebersihan anabul, sudah langganan beli .. terimakasih seller"
Precious Metal,Minigold Black Series Logam Mulia Koin Emas Mini 24 Karat 0.025 gram,5,Positive,Love,sangat istimewa sekali..
Animal Care,ARTEMIA HIDUP SEGAR PAKAN MAKANAN IKAN BURAYAK TERUMBU KARANG,3,Negative,Fear,artemia dtg udah byk yg mati
Computers and Laptops,SSD 256GB RX7 SATA,1,Negative,Sadness,"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari..."
Women's Fashion,Daster Polos Ruffle / Daster remple Rayon - Mint,5,Positive,Love,"ini sudah ke berapa kalinya beli daster disini dan selalu puas , thanks yaa.."
Mother and Baby,Mama's Choice Active-wear Maternity Legging - Legging Hamil Mama's Cho - Hitam + pengait,1,Negative,Anger,"aduh parah deh kualitasnya . respons konfirmasi order sampe 2 hari , paa barang datang baru jg dipakai 2 jam masa bolong pas bagian miss V nya ..ckckckc kecewa banget!!! trus bahannya jg nerawang alias tipis dan pengait bagian perutnya jg gmpang lepas ..hadeuh kapok beli produk mamas choice deh"
Gaming,Kipas Pendingin Hp Gaming Fun Cooler Cooling Pad KH01 NEW,5,Positive,Happy,"bagus, angin nya terasa kuat tapi belum kebiasa ama getarannya doang yang agak kuat"
